,FULL_CODE,SCHOOL_NAME,CHARTER,BGRADE,EGRADE,ZIP_CODE,lat,lng,ENROLLMENT_GRADES_K_12_00,ENROLLMENT_GRADES_K_12_10,WARD,WARD_CHILD_POP_00,WARD_CHILD_POP_10,WARD_CHILD_POP_CHANGE,WARD_CHILD_POP_CHANGE_PCT,Eng. Language Arts,Mathematics,BLACK_PCT
0,115-115-4000,ADAMS ELEM.,False,PK,6,63110,38.62458499,-90.257114,0,350,17,2475,2154,-321,-0.12969697,34.26315789473684,34.0,0.9600519649236764
1,115-115-4060,ASHLAND ELEM. AND BR.,False,PK,6,63115,38.671584,-90.23595204,519,318,21,3602,2697,-905,-0.251249306,26.76315789473684,22.894736842105264,0.9979368681658758
2,115-115-4080,BADEN ELEM.,False,PK,6,63147,38.717661,-90.23635303,353,0,2,3263,2537,-726,-0.222494637,23.65625,23.78125,0.9932475884244372
3,115-115-4100,BANNEKER ELEM.,False,PK,6,63103,38.6369082,-90.21813227,206,0,19,2520,1988,-532,-0.211111111,,,1.0
4,115-115-1250,BEAUMONT HIGH,False,9,12,63107,38.662725,-90.22188897,1465,782,3,4113,2303,-1810,-0.440068077,38.333333333333336,27.166666666666668,0.9976467232403908
5,115-115-3020,BLEWETT MIDDLE,False,6,8,63106,38.64374799,-90.20379998,346,0,3,4113,2303,-1810,-0.440068077,28.25,20.45,0.9994095069382934
6,115-115-3040,BLOW MIDDLE COMMUNITY ED. CTR.,False,6,8,63111,38.55467602,-90.25706698,467,0,11,3048,2587,-461,-0.151246719,31.166666666666668,21.416666666666668,0.6947819871336669
7,115-115-4180,BRYAN HILL ELEM.,False,PK,5,63107,38.67114801,-90.21259302,269,176,3,4113,2303,-1810,-0.440068077,50.43333333333333,46.16666666666666,0.9957298136645962
8,115-115-4200,BUDER ELEM.,False,PK,5,63109,38.58895201,-90.28313302,468,339,14,3251,2497,-754,-0.231928637,44.73333333333333,45.266666666666666,0.2760139049826188
9,115-905-6950,CARONDELET CAMPUS,True,K,8,63111,38.54891401,-90.26070104,0,255,11,3048,2587,-461,-0.151246719,,,0.5683453237410072
10,115-115-4280,CARVER ELEM. COMM. ED. CTR.,False,PK,5,63106,38.642095,-90.22607296,136,0,19,2520,1988,-532,-0.211111111,,,1.0
11,115-911-6955,CITY GARDEN MONTESSORI CHARTER,True,PK, K,63110,38.619948,-90.25528297,0,79,19,2520,1988,-532,-0.211111111,,,0.4580152671755725
12,115-115-4320,CLARK ELEM.,False,PK,5,63113,38.65678998,-90.27200797,354,0,26,3215,2684,-531,-0.165163297,32.90625,27.5,0.9931869795609388
13,115-115-4360,CLAY ELEM.,False,PK,5,63107,38.663172,-90.19927904,427,183,3,4113,2303,-1810,-0.440068077,33.46666666666667,28.666666666666668,0.9607357622921824
14,115-115-4400,COLE ELEM.,False,PK,8,63108,38.64516202,-90.23825396,386,158,18,3030,2317,-713,-0.235313531,33.61904761904762,26.11904761904762,0.996797153024911
15,115-905-6925,COLLEGE HILL CAMPUS,True,K,8,63107,38.67485499,-90.21328897,0,250,21,3602,2697,-905,-0.251249306,,,0.9840425531914894
16,115-906-1920,CONFLUENCE PREPARATORY ACADEMY,True,9,12,63103,38.63098101,-90.20077101,0,233,5,3855,3930,75,0.019455253,,,0.9337539432176656
17,115-901-1910,CONSTRUCTION CAREERS CENTER,True,9,12,63104,38.617094,-90.20833199,0,378,7,2656,2063,-593,-0.223268072,,,0.9618573797678276
18,115-115-4410,COOK ELEM.,False,PK,8,63112,38.66276598,-90.29060599,301,0,26,3215,2684,-531,-0.165163297,,,0.9983164983164984
19,115-115-4440,COTE BRILLIANTE ELEM.,False,PK,8,63113,38.66437502,-90.24765402,338,204,4,3665,2482,-1183,-0.322783083,38.8421052631579,36.078947368421055,0.9950479727638502
20,115-115-4460,CUPPLES ELEM.,False,PK,8,63113,38.66433101,-90.25790299,225,0,1,3294,2385,-909,-0.275956284,,,1.0
21,115-115-4480,DUNBAR AND BR.,False,PK,6,63106,38.645144,-90.220701,360,193,19,2520,1988,-532,-0.211111111,26.710526315789476,30.36842105263158,0.997416855020988
22,115-904-1915,E H LYLE MIDDLE/HIGH,True,6,12,63103,38.631245,-90.20689098,0,323,19,2520,1988,-532,-0.211111111,,,0.9907464528069092
23,115-115-5610,"EARL NANCE, SR. ELEM.",False,PK,6,63147,38.72143302,-90.24124404,0,359,2,3263,2537,-726,-0.222494637,34.0,31.425,0.9972353870458136
24,115-115-4500,ELIOT ELEM.,False,PK,6,63107,38.66567431,-90.20966887,298,0,3,4113,2303,-1810,-0.440068077,,,0.9974468085106384
25,115-115-4520,EMERSON ELEM.,False,PK,6,63112,38.66286598,-90.27454702,189,0,26,3215,2684,-531,-0.165163297,,,0.9970588235294118
26,115-904-6920,ETHEL HEDGEMAN LYLE ACADEMY,True,K,5,63103,38.63287,-90.20053297,0,484,5,3855,3930,75,0.019455253,,,0.9993412384716732
27,115-115-3140,FANNING MIDDLE COMMUNITY ED.,False,6,8,63116,38.59568599,-90.245264,432,378,15,3329,2514,-815,-0.244818264,25.633333333333333,21.23333333333333,0.7932467532467532
28,115-115-4580,FARRAGUT ELEM.,False,PK,6,63107,38.66266402,-90.22763703,370,0,4,3665,2482,-1183,-0.322783083,41.36842105263158,35.76315789473684,0.9976705490848584
29,115-115-4630,FORD-FORD BR. ELEM. COMM. ED.,False,PK,6,63112,38.66714498,-90.27860696,455,356,22,4211,2776,-1435,-0.340774163,52.8421052631579,53.21052631578947,0.9954954954954957
30,115-115-5900,FROEBEL BRANCH,False,PK,6,63118,38.588331,-90.23391599,124,0,20,4512,3623,-889,-0.197030142,,,0.9361702127659576
31,115-115-4660,FROEBEL ELEM.,False,PK,5,63118,38.588331,-90.23391599,495,337,20,4512,3623,-889,-0.197030142,41.46666666666667,39.06666666666667,0.8726722532588455
32,115-115-4700,GARFIELD ELEM.,False,PK,5,63118,38.596608,-90.22528397,364,0,9,3753,2589,-1164,-0.310151878,,,0.7240204429301533
33,115-115-4760,GUNDLACH ELEM.,False,PK,5,63120,38.67666402,-90.26455604,354,0,22,4211,2776,-1435,-0.340774163,31.423076923076923,24.73076923076923,0.9988644965934896
34,115-115-4780,HAMILTON ELEM. COMMUNITY ED.,False,PK,5,63112,38.65305501,-90.28986897,370,344,26,3215,2684,-531,-0.165163297,26.047619047619047,24.785714285714285,0.92981843575419
35,115-115-4840,HEMPSTEAD ELEM.,False,PK,5,63112,38.66894701,-90.28461997,382,0,22,4211,2776,-1435,-0.340774163,,,0.9984139571768438
36,115-115-4880,HENRY ELEM.,False,PK,6,63106,38.63726098,-90.19130701,392,231,5,3855,3930,75,0.019455253,35.592592592592595,31.38888888888889,0.9648976180526536
37,115-115-4900,HERZOG ELEM.,False, K,6,63147,38.711053,-90.25210699,391,387,27,3863,2640,-1223,-0.316593321,69.54761904761905,60.73809523809524,0.9978658536585366
38,115-115-4890,HICKEY ELEM.,False,PK,5,63115,38.66930999,-90.24514397,375,260,4,3665,2482,-1183,-0.322783083,26.433333333333334,22.3,0.9969650986342944
39,115-115-4920,HODGEN ELEM.,False,PK,6,63104,38.616633,-90.22460102,473,223,6,3594,2908,-686,-0.190873678,39.70588235294117,40.70588235294117,0.9426512968299712
40,115-907-6935,IA OF ACADEMIC SUCCESS,True,K,5,63107,38.67714799,-90.209857,0,478,2,3263,2537,-726,-0.222494637,,,0.9956772334293948
41,115-908-6940,IA OF CAREERS ELEM.,True,K,5,63118,38.58575302,-90.22025601,0,409,20,4512,3623,-889,-0.197030142,,,0.9373390557939916
42,115-908-3915,IA OF CAREERS MIDDLE,True,6,8,63118,38.58575302,-90.22025601,0,287,20,4512,3623,-889,-0.197030142,,,0.982124079915878
43,115-909-6945,IA OF ENVIRON. SCIENCE/MATH,True,K,12,63110,38.62619499,-90.24028196,0,1338,17,2475,2154,-321,-0.12969697,,,0.9530827067669172
44,115-908-1925,IMAGINE COLLEGE PREP. HIGH,True,9,12,63103,38.63586402,-90.21236,0,655,19,2520,1988,-532,-0.211111111,,,0.9811188811188812
45,115-115-5000,JACKSON ELEM.,False, K,5,63106,38.64493001,-90.20055099,310,0,3,4113,2303,-1810,-0.440068077,,,0.9875954198473282
46,115-115-5020,JEFFERSON ELEM.,False,PK,5,63106,38.64130601,-90.20326203,330,214,5,3855,3930,75,0.019455253,32.19047619047619,25.404761904761905,0.997488138431482
47,115-914-6970,KIPP INSPIRE ACADEMY,True,5,8,63118,38.60435401,-90.22610498,0,83,6,3594,2908,-686,-0.190873678,,,1.0
48,115-115-4510,KOTTMEYER EARLY CHILD. CTR.,False,PK,6,63104,38.61882101,-90.237757,154,0,19,2520,1988,-532,-0.211111111,,,0.6515004840271055
49,115-115-3280,L'OUVERTURE MIDDLE,False,6,8,63104,38.611915,-90.20425,413,300,7,2656,2063,-593,-0.223268072,24.857142857142858,22.035714285714285,0.9818381948266374
50,115-115-5060,LACLEDE ELEM.,False,PK,8,63112,38.67737899,-90.276644,344,256,22,4211,2776,-1435,-0.340774163,40.56666666666667,41.56666666666667,0.9956982131039048
51,115-115-5080,LAFAYETTE ELEM.,False,PK,5,63104,38.60569201,-90.20492098,490,0,7,2656,2063,-593,-0.223268072,,,0.7550151975683891
52,115-115-3240,LANGSTON MIDDLE,False,6,8,63112,38.67311902,-90.270777,413,348,22,4211,2776,-1435,-0.340774163,31.6,27.03333333333333,0.9981172040480112
53,115-115-5100,LEXINGTON ELEM.,False,PK,5,63115,38.67465001,-90.25381698,395,254,1,3294,2385,-909,-0.275956284,46.44117647058823,43.38235294117647,0.9985549132947976
54,115-902-3910,LIFT FOR LIFE ACADEMY,True,6,8,63104,38.60845498,-90.200538,0,434,7,2656,2063,-593,-0.223268072,,,0.9438727782974744
55,115-115-3260,LONG MIDDLE COMMUNITY ED. CTR.,False,6,8,63116,38.58006502,-90.26666602,588,336,14,3251,2497,-754,-0.231928637,29.266666666666666,26.5,0.4307192198293376
56,115-115-5160,LOWELL ELEM.,False,PK,5,63107,38.67714799,-90.209857,429,0,2,3263,2537,-726,-0.222494637,,,0.9803625377643505
57,115-115-5260,MANN ELEM.,False,PK,6,63116,38.60225602,-90.25454101,367,243,15,3329,2514,-815,-0.244818264,26.625,22.575,0.7146074646074646
58,115-115-5280,MARK TWAIN ELEM.,False,PK,6,63115,38.69051398,-90.24236797,284,0,1,3294,2385,-909,-0.275956284,29.705882352941178,23.0,0.9980461117624072
59,115-115-5320,MARSHALL ELEM.,False,PK,6,63115,38.657001,-90.24441801,261,0,4,3665,2482,-1183,-0.322783083,,,0.9572649572649572
60,115-115-5340,MASON ELEM.,False,PK,6,63139,38.61075401,-90.29011104,355,264,24,2415,1670,-745,-0.308488613,44.08695652173913,39.26086956521739,0.4548038658328596
61,115-115-5500,MERAMEC ELEM.,False,PK,5,63118,38.57982601,-90.23235696,303,211,20,4512,3623,-889,-0.197030142,31.066666666666663,30.53333333333333,0.9028842643300474
62,115-115-5540,MITCHELL ELEM.,False,PK,5,63112,38.65991199,-90.28022903,255,0,26,3215,2684,-531,-0.165163297,32.291666666666664,28.875,0.9940068493150684
63,115-115-5560,MONROE ELEM.,False,PK,6,63118,38.58810699,-90.22503403,0,219,20,4512,3623,-889,-0.197030142,34.28260869565217,33.58695652173913,0.9052369077306732
64,115-913-6965,NORTH SIDE COMMUNITY SCHOOL,True,PK,4,63115,38.67221599,-90.25243497,0,54,1,3294,2385,-909,-0.275956284,,,1.0
65,115-115-3310,NORTHWEST MIDDLE,False,6,8,63120,38.70094702,-90.25575404,581,0,27,3863,2640,-1223,-0.316593321,30.571428571428573,28.285714285714285,0.9965240060829892
66,115-115-3360,NOTTINGHAM MIDDLE COMM. ED.,False,6,8,63109,38.587527,-90.30436899,211,0,16,2475,2154,-321,-0.12969697,,,0.6073298429319371
67,115-115-5600,OAK HILL ELEM.,False,PK,5,63116,38.588807,-90.26412798,473,347,14,3251,2497,-754,-0.231928637,31.0,27.657894736842103,0.3581349206349206
68,115-906-6930,OLD NORTH,True,PK,8,63107,38.65439301,-90.19668299,0,936,3,4113,2303,-1810,-0.440068077,,,0.9745824255628176
69,115-115-5620,PEABODY ELEM.,False,PK,5,63104,38.61682599,-90.20505802,379,272,6,3594,2908,-686,-0.190873678,47.8448275862069,36.98275862068966,0.9878994725411108
70,115-115-5720,ROE ELEM.,False,PK,5,63139,38.62190898,-90.30458801,358,0,24,2415,1670,-745,-0.308488613,,,0.5337361530715005
71,115-115-1680,ROOSEVELT HIGH,False,9,12,63118,38.60012199,-90.23690104,1825,1218,6,3594,2908,-686,-0.190873678,31.83333333333333,23.5,0.7769775464504025
72,115-115-5740,SCRUGGS ELEM.,False,PK,5,63111,38.57654399,-90.248298,512,0,25,3829,3102,-727,-0.189866806,36.583333333333336,33.916666666666664,0.766029246344207
73,115-115-5760,SCULLIN ELEM.,False,PK,5,63115,38.680644,-90.24711003,304,0,1,3294,2385,-909,-0.275956284,,,0.99912739965096
74,115-115-5800,SHENANDOAH ELEM.,False,PK,6,63104,38.609069,-90.23683499,259,122,6,3594,2908,-686,-0.190873678,45.55555555555556,44.083333333333336,0.9196515004840272
75,115-115-5820,SHEPARD ELEM.,False,PK,6,63118,38.59138599,-90.22062799,520,0,9,3753,2589,-1164,-0.310151878,38.76315789473684,26.210526315789476,0.9219237976264836
76,115-115-5840,SHERMAN ELEM. COMM. ED. CTR.,False,PK,6,63110,38.61175498,-90.24742896,302,143,8,3532,1998,-1534,-0.434314836,43.0,39.0,0.9800399201596808
77,115-115-5860,SIGEL ELEM. COMM. ED. CTR.,False,PK,6,63104,38.61036601,-90.21659697,470,241,7,2656,2063,-593,-0.223268072,24.52777777777778,17.22222222222222,0.8157071339173968
78,115-115-5880,SIMMONS ELEM.,False,PK,6,63115,38.66337282,-90.23874057,304,0,4,3665,2482,-1183,-0.322783083,35.73076923076923,23.653846153846157,0.9858870967741936
79,115-906-6932,SOUTH CITY,True,PK,8,63118,38.57970199,-90.23820401,0,906,20,4512,3623,-889,-0.197030142,,,0.7318141980718668
80,115-903-6915,ST. LOUIS CHARTER SCH.,True,PK,8,63139,38.601907,-90.278729,0,913,10,2402,1863,-539,-0.224396336,,,0.4723746798390048
81,115-115-3400,STEVENS MIDDLE COMMUNITY ED.,False,6,8,63113,38.65009401,-90.24367102,275,248,18,3030,2317,-713,-0.235313531,28.73333333333333,20.23333333333333,0.9960061443932412
82,115-115-3420,STOWE MIDDLE,False,6,8,63112,38.67379699,-90.27735202,427,0,22,4211,2776,-1435,-0.340774163,30.33333333333333,31.33333333333333,0.998272884283247
83,115-115-1800,SUMNER HIGH,False,9,12,63113,38.65974498,-90.239324,807,878,4,3665,2482,-1183,-0.322783083,41.66666666666666,31.166666666666668,0.9898731781184932
84,115-912-6960,THE FRENCH SCHOOL,True,K,5,63110,38.62951799,-90.24826103,0,75,17,2475,2154,-321,-0.12969697,,,0.5066666666666667
85,115-912-6961,THE SPANISH SCHOOL,True,PK,8,63110,38.62951799,-90.24826103,0,92,17,2475,2154,-321,-0.12969697,,,0.6521739130434783
86,115-115-3440,TURNER MIDDLE SCH. AND BR.,False,6,8,63113,38.66122698,-90.24012397,316,0,4,3665,2482,-1183,-0.322783083,25.33333333333333,23.0,0.9552520018841264
87,115-115-1830,VASHON HIGH,False,9,12,63106,38.64274799,-90.22825804,1107,739,19,2520,1988,-532,-0.211111111,36.0,22.5,0.9969045427926044
88,115-115-5960,WALBRIDGE ELEM. COMMUNITY ED.,False,PK,6,63120,38.693637,-90.25080402,399,379,27,3863,2640,-1223,-0.316593321,23.666666666666668,18.30952380952381,0.9944521497919556
89,115-906-6931,WALNUT PARK,True,PK,2,63120,38.696104,-90.24576298,0,917,27,3863,2640,-1223,-0.316593321,,,0.9969111969111968
90,115-115-5980,WALNUT PARK ELEM.,False,PK,5,63120,38.70235899,-90.25326,296,0,27,3863,2640,-1223,-0.316593321,,,1.0
91,115-115-3480,WEBSTER MIDDLE,False,6,8,63106,38.647488,-90.19234502,347,0,5,3855,3930,75,0.019455253,27.7,19.2,0.9763847144697296
92,115-115-3500,WILLIAMS MIDDLE COMMUNITY ED.,False,6,8,63113,38.65545001,-90.23073003,278,0,4,3665,2482,-1183,-0.322783083,,,1.0
93,115-115-5970,WOERNER ELEM.,False,PK,5,63116,38.56942302,-90.269008,392,402,13,3037,2568,-469,-0.154428713,38.36666666666667,36.333333333333336,0.2297893189612934
94,115-115-6120,WOODWARD ELEM.,False,PK,5,63111,38.56571,-90.249967,419,322,11,3048,2587,-461,-0.151246719,36.7,27.766666666666666,0.5579387915249804
95,115-115-6140,WYMAN ELEM.,False,PK,5,63104,38.619021,-90.23721997,413,0,19,2520,1988,-532,-0.211111111,28.33333333333333,23.83333333333333,0.7932728647014361
96,115-115-2080,YEATMAN MIDDLE COMMUNITY ED.,False,6,8,63115,38.67556498,-90.22832904,414,239,21,3602,2697,-905,-0.251249306,30.875,27.25,0.9976076555023924
